# Base de Datos de Canciones - MusicApp
# Formato: ID|Título|Artista|Género|Año|Duración|URL_YouTube
# La duración está en formato decimal: 3.45 = 3 minutos 45 segundos

C0093|Heart-Shaped Box|Nirvana|Rock|1993|4,41|https://www.youtube.com/watch?v=n6P0SitRwy8
C0090|Give It Away|Red Hot Chili Peppers|Rock|1991|4,43|https://www.youtube.com/watch?v=Mr_uHJPUlO8
C0091|By the Way|Red Hot Chili Peppers|Rock|2002|3,37|https://www.youtube.com/watch?v=JnfyjwChuNU
C0014|Uptown Funk|Mark Ronson|Funk|2014|4,30|https://www.youtube.com/watch?v=OPf0YbXqDm0
C0058|Waterloo Sunset|The Kinks|Rock|1967|3,13|https://www.youtube.com/watch?v=N_MqfF0WBsU
C0015|Rolling in the Deep|Adele|Pop|2010|3,48|https://www.youtube.com/watch?v=rYEDA3JcQqw
C0059|Gimme Shelter|The Rolling Stones|Rock|1969|4,31|https://www.youtube.com/watch?v=RbmS3tQJ7Os
C0012|Blinding Lights|The Weeknd|Pop|2019|3,20|https://www.youtube.com/watch?v=4NRXx6U8ABQ
C0056|Dancing in the Street|Martha and the Vandellas|Soul|1964|2,39|https://www.youtube.com/watch?v=CdvITn5cAVc
C0013|Despacito|Luis Fonsi|Reggaeton|2017|3,47|https://www.youtube.com/watch?v=kJQP7kiw5Fk
C0057|The Weight|The Band|Rock|1968|4,35|https://www.youtube.com/watch?v=sjCw3-YTffo
C0054|Tutti Frutti|Little Richard|Rock|1955|2,25|https://www.youtube.com/watch?v=F13JNjpNW6c
C0098|Livin' on a Prayer|Bon Jovi|Rock|1986|4,09|https://www.youtube.com/watch?v=lDK9QqIzhwk
C0011|Shape of You|Ed Sheeran|Pop|2017|3,53|https://www.youtube.com/watch?v=JGwWNGJdvx8
C0055|I Heard It Through the Grapevine|Marvin Gaye|Soul|1968|3,16|https://www.youtube.com/watch?v=hajBdDM2qdg
C0099|Take on Me|a-ha|Pop|1984|3,47|https://www.youtube.com/watch?v=djV11Xbc914
C0052|Every Breath You Take|The Police|Pop|1983|4,13|https://www.youtube.com/watch?v=OMOGaugKpzs
C0096|Sweet Dreams|Eurythmics|Pop|1983|3,36|https://www.youtube.com/watch?v=qeMFqkcPYcg
C0053|Superstition|Stevie Wonder|Funk|1972|4,26|https://www.youtube.com/watch?v=0CFuCYNx-1g
C0097|Don't Stop Believin'|Journey|Rock|1981|4,11|https://www.youtube.com/watch?v=1k8craCGpgs
C0018|Numb|Linkin Park|Rock|2003|3,07|https://www.youtube.com/watch?v=kXYiU_JCYtU
C0019|In the End|Linkin Park|Rock|2000|3,36|https://www.youtube.com/watch?v=eVTXPUF4Oz4
C0016|Lose Yourself|Eminem|Hip Hop|2002|5,26|https://www.youtube.com/watch?v=_Yhyp-_hX2s
C0017|Thunderstruck|AC/DC|Rock|1990|4,52|https://www.youtube.com/watch?v=v2AC41dglnM
C0061|God Only Knows|The Beach Boys|Pop|1966|2,51|https://www.youtube.com/watch?v=CWPo5SC3zik
C0062|People Get Ready|The Impressions|Soul|1965|2,35|https://www.youtube.com/watch?v=3pGP4xkNdSM
C0060|That'll Be the Day|Buddy Holly|Rock|1957|2,16|https://www.youtube.com/watch?v=WKYvOIMh8kY
C0025|Billie Jean|Michael Jackson|Pop|1983|4,54|https://www.youtube.com/watch?v=Zi_XLOBDo_Y
C0069|One Love|Bob Marley|Reggae|1977|2,52|https://www.youtube.com/watch?v=vdB-8eLEW8g
C0102|Time After Time|Cyndi Lauper|Pop|1983|4,00|https://www.youtube.com/watch?v=VdQY7BusJNU
C0026|Smells Like Teen Spirit|Nirvana|Rock|1991|5,01|https://www.youtube.com/watch?v=hTWKbfoikeg
C0103|Total Eclipse of the Heart|Bonnie Tyler|Pop|1983|4,28|https://www.youtube.com/watch?v=lcOxhH8N3Bo
C0023|Stairway to Heaven|Led Zeppelin|Rock|1971|8,02|https://www.youtube.com/watch?v=QkF3oxziUI4
C0067|Redemption Song|Bob Marley|Reggae|1980|3,47|https://www.youtube.com/watch?v=QrQ9VoG8YNs
C0100|Careless Whisper|George Michael|Pop|1984|5,01|https://www.youtube.com/watch?v=izGwDsrQ1eQ
C0024|Hotel California|Eagles|Rock|1977|6,30|https://www.youtube.com/watch?v=09839DpTctU
C0068|No Woman No Cry|Bob Marley|Reggae|1974|4,30|https://www.youtube.com/watch?v=x59kS2AOrGM
C0101|Girls Just Want to Have Fun|Cyndi Lauper|Pop|1983|3,58|https://www.youtube.com/watch?v=PIb6AZdTr-A
C0021|MLP|Yeison Jimenez|Popular|2023|3,50|https://www.youtube.com/watch?v=eJdHWu-Czhg
C0065|California Dreamin'|The Mamas & The Papas|Folk|1965|2,40|https://www.youtube.com/watch?v=N-aK6JnyFmk
C0022|Bohemian Rhapsody|Queen|Rock|1975|5,55|https://www.youtube.com/watch?v=fJ9rUzIMcZQ
C0066|Space Oddity|David Bowie|Rock|1969|5,18|https://www.youtube.com/watch?v=iYYRH4apXDo
C0063|In the Midnight Hour|Wilson Pickett|Soul|1965|2,38|https://www.youtube.com/watch?v=FGVGFfj7fsM
C0020|Seven Nation Army|The White Stripes|Rock|2003|3,51|https://www.youtube.com/watch?v=0J2QdDbelmY
C0064|Walk On By|Dionne Warwick|Pop|1964|2,55|https://www.youtube.com/watch?v=oonz_3pMUdQ
C0029|Purple Haze|Jimi Hendrix|Rock|1967|2,51|https://www.youtube.com/watch?v=WGoDaYjdfSg
C0027|Hey Jude|The Beatles|Rock|1968|7,11|https://www.youtube.com/watch?v=A_MjCqQoLLA
C0104|Eye of the Tiger|Survivor|Rock|1982|4,05|https://www.youtube.com/watch?v=btPJPFnesV4
C0028|Sweet Child O' Mine|Guns N' Roses|Rock|1987|5,56|https://www.youtube.com/watch?v=1w7OgIMMRc4
C0072|California Love|2Pac|Hip Hop|1995|4,47|https://www.youtube.com/watch?v=J7_bMdYfSws
C0073|Nuthin' but a 'G' Thang|Dr. Dre|Hip Hop|1992|3,58|https://www.youtube.com/watch?v=_qkP8SvHvaU
C0070|Message in a Bottle|The Police|Rock|1979|4,51|https://www.youtube.com/watch?v=MbXWrmQW-OE
C0071|Should I Stay or Should I Go|The Clash|Punk|1982|3,07|https://www.youtube.com/watch?v=BN1WwnEDWAM
C0036|My Generation|The Who|Rock|1965|3,18|https://www.youtube.com/watch?v=qN5zw04WxCc
C0037|A Change Is Gonna Come|Sam Cooke|Soul|1964|3,11|https://www.youtube.com/watch?v=wEBlaMOmKV4
C0034|I Want to Hold Your Hand|The Beatles|Rock|1963|2,26|https://www.youtube.com/watch?v=jenWdylTtzs
C0078|With or Without You|U2|Rock|1987|4,56|https://www.youtube.com/watch?v=XmSdTa9kaiQ
C0035|Satisfaction|The Rolling Stones|Rock|1965|3,44|https://www.youtube.com/watch?v=nrIPxlFzDi0
C0079|Where the Streets Have No Name|U2|Rock|1987|5,37|https://www.youtube.com/watch?v=GzZWSrr5wFI
C0032|Good Vibrations|The Beach Boys|Pop|1966|3,36|https://www.youtube.com/watch?v=Eab_beh07HU
C0076|Rapper's Delight|The Sugarhill Gang|Hip Hop|1979|14,35|https://www.youtube.com/watch?v=rKTUAESacQM
C0033|Johnny B. Goode|Chuck Berry|Rock|1958|2,41|https://www.youtube.com/watch?v=ZFo8-JqzSCM
C0077|N.Y. State of Mind|Nas|Hip Hop|1994|4,54|https://www.youtube.com/watch?v=UKjj4hk0pV4
C0030|Like a Rolling Stone|Bob Dylan|Rock|1965|6,13|https://www.youtube.com/watch?v=IwOfCgkyEj0
C0074|Fight the Power|Public Enemy|Hip Hop|1989|4,42|https://www.youtube.com/watch?v=8PaoLy7PHwk
C0031|What's Going On|Marvin Gaye|Soul|1971|3,53|https://www.youtube.com/watch?v=o5TmORitlKkluster
C0075|The Message|Grandmaster Flash|Hip Hop|1982|7,11|https://www.youtube.com/watch?v=O4o8TeqKhgY
C0038|Blowin' in the Wind|Bob Dylan|Folk|1963|2,48|https://www.youtube.com/watch?v=vWwgrjjIMXA
C0039|London Calling|The Clash|Punk|1979|3,19|https://www.youtube.com/watch?v=EfK-WX2pa8c
C0083|No Surprises|Radiohead|Rock|1997|3,49|https://www.youtube.com/watch?v=u5CVsCnxyXg
C0040|I Walk the Line|Johnny Cash|Country|1956|2,43|https://www.youtube.com/watch?v=Lq0fUa0vW_E
C0084|Paranoid Android|Radiohead|Rock|1997|6,23|https://www.youtube.com/watch?v=fHiGbolFFGw
C0081|Pride (In the Name of Love)|U2|Rock|1984|3,48|https://www.youtube.com/watch?v=LHcP4MWABGY
C0082|Karma Police|Radiohead|Rock|1997|4,21|https://www.youtube.com/watch?v=1uYWYWPc9HU
C0080|Sunday Bloody Sunday|U2|Rock|1983|4,40|https://www.youtube.com/watch?v=NDTU0Q_07Pk
